"data_hora","idade","genero","periodo","indice_aprendizado","aspecto","disciplinas","avaliacao","tipo","comp_cursadas","mat_cursadas","prat_cursadas"
"2021/08/10 10:11:04 PM GMT-3",19,"Masculino","2020.2",5,"flex_horario","prat",4,"positivo",1,1,1
"2021/08/10 10:11:04 PM GMT-3",19,"Masculino","2020.2",5,"estrut_clara","mat",4,"positivo",1,1,1
"2021/08/10 10:11:04 PM GMT-3",19,"Masculino","2020.2",5,"estrut_clara","comp",4,"positivo",1,1,1
"2021/08/10 10:11:04 PM GMT-3",19,"Masculino","2020.2",5,"estrut_clara","prat",4,"positivo",1,1,1
"2021/08/10 10:11:04 PM GMT-3",19,"Masculino","2020.2",5,"ritmo_proprio","mat",4,"positivo",1,1,1
"2021/08/10 10:11:04 PM GMT-3",19,"Masculino","2020.2",5,"ritmo_proprio","comp",4,"positivo",1,1,1
"2021/08/10 10:11:04 PM GMT-3",19,"Masculino","2020.2",5,"ritmo_proprio","prat",4,"positivo",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"prob_tec","mat",2,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"prob_tec","comp",2,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"prob_tec","prat",2,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"comunic_prej","mat",2,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"comunic_prej","comp",2,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"comunic_prej","prat",2,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"prob_ger_temp","mat",4,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"prob_ger_temp","comp",3,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"prob_ger_temp","prat",3,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"falta_contato","mat",4,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"falta_contato","comp",4,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"falta_contato","prat",4,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"amb_nao_prod","mat",5,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"amb_nao_prod","comp",5,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"amb_nao_prod","prat",5,"dificuldade",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"flex_horario","mat",5,"positivo",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"flex_horario","comp",5,"positivo",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"flex_horario","prat",5,"positivo",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"estrut_clara","mat",4,"positivo",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"estrut_clara","comp",4,"positivo",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"estrut_clara","prat",4,"positivo",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"ritmo_proprio","mat",4,"positivo",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"ritmo_proprio","comp",5,"positivo",1,1,1
"2021/08/11 12:02:26 AM GMT-3",22,"Masculino","2017.2",7,"ritmo_proprio","prat",5,"positivo",1,1,1
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"prob_tec","mat",1,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"prob_tec","comp",1,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"prob_tec","prat",1,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"comunic_prej","mat",2,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"comunic_prej","comp",1,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"comunic_prej","prat",1,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"prob_ger_temp","mat",1,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"prob_ger_temp","comp",2,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"prob_ger_temp","prat",1,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"falta_contato","mat",1,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"falta_contato","comp",2,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"falta_contato","prat",1,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"amb_nao_prod","mat",2,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"amb_nao_prod","comp",2,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"amb_nao_prod","prat",1,"dificuldade",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"flex_horario","mat",5,"positivo",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"flex_horario","comp",5,"positivo",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"flex_horario","prat",1,"positivo",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"estrut_clara","mat",5,"positivo",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"estrut_clara","comp",5,"positivo",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"estrut_clara","prat",1,"positivo",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"ritmo_proprio","mat",5,"positivo",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"ritmo_proprio","comp",5,"positivo",1,1,0
"2021/08/11 1:05:06 AM GMT-3",23,"Masculino","2016.2",8,"ritmo_proprio","prat",1,"positivo",1,1,0
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"prob_tec","mat",3,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"prob_tec","comp",4,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"prob_tec","prat",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"comunic_prej","mat",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"comunic_prej","comp",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"comunic_prej","prat",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"prob_ger_temp","mat",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"prob_ger_temp","comp",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"prob_ger_temp","prat",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"falta_contato","mat",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"falta_contato","comp",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"falta_contato","prat",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"amb_nao_prod","mat",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"amb_nao_prod","comp",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"amb_nao_prod","prat",5,"dificuldade",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"flex_horario","mat",5,"positivo",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"flex_horario","comp",5,"positivo",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"flex_horario","prat",5,"positivo",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"estrut_clara","mat",2,"positivo",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"estrut_clara","comp",2,"positivo",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"estrut_clara","prat",2,"positivo",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"ritmo_proprio","mat",5,"positivo",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"ritmo_proprio","comp",5,"positivo",1,1,1
"2021/08/11 1:24:51 AM GMT-3",19,"Masculino","2020.1",7,"ritmo_proprio","prat",5,"positivo",1,1,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"prob_tec","mat",1,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"prob_tec","comp",1,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"prob_tec","prat",1,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"comunic_prej","mat",2,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"comunic_prej","comp",2,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"comunic_prej","prat",2,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"prob_ger_temp","mat",2,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"prob_ger_temp","comp",4,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"prob_ger_temp","prat",4,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"falta_contato","mat",3,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"falta_contato","comp",4,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"falta_contato","prat",4,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"amb_nao_prod","mat",3,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"amb_nao_prod","comp",4,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"amb_nao_prod","prat",4,"dificuldade",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"flex_horario","mat",4,"positivo",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"flex_horario","comp",5,"positivo",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"flex_horario","prat",4,"positivo",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"estrut_clara","mat",2,"positivo",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"estrut_clara","comp",4,"positivo",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"estrut_clara","prat",5,"positivo",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"ritmo_proprio","mat",3,"positivo",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"ritmo_proprio","comp",3,"positivo",1,0,1
"2021/08/11 6:18:14 AM GMT-3",25,"Feminino","2017.1",3,"ritmo_proprio","prat",3,"positivo",1,0,1
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"prob_tec","mat",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"prob_tec","comp",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"prob_tec","prat",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"comunic_prej","mat",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"comunic_prej","comp",4,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"comunic_prej","prat",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"prob_ger_temp","mat",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"prob_ger_temp","comp",4,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"prob_ger_temp","prat",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"falta_contato","mat",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"falta_contato","comp",3,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"falta_contato","prat",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"amb_nao_prod","mat",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"amb_nao_prod","comp",5,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"amb_nao_prod","prat",1,"dificuldade",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"flex_horario","mat",1,"positivo",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"flex_horario","comp",5,"positivo",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"flex_horario","prat",1,"positivo",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"estrut_clara","mat",1,"positivo",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"estrut_clara","comp",5,"positivo",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"estrut_clara","prat",1,"positivo",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"ritmo_proprio","mat",1,"positivo",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"ritmo_proprio","comp",5,"positivo",1,0,0
"2021/08/11 8:08:16 AM GMT-3",24,"Masculino","2017.2",3,"ritmo_proprio","prat",1,"positivo",1,0,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"prob_tec","mat",1,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"prob_tec","comp",1,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"prob_tec","prat",2,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"comunic_prej","mat",1,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"comunic_prej","comp",1,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"comunic_prej","prat",1,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"prob_ger_temp","mat",2,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"prob_ger_temp","comp",2,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"prob_ger_temp","prat",2,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"falta_contato","mat",2,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"falta_contato","comp",2,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"falta_contato","prat",1,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"amb_nao_prod","mat",1,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"amb_nao_prod","comp",1,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"amb_nao_prod","prat",1,"dificuldade",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"flex_horario","mat",2,"positivo",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"flex_horario","comp",2,"positivo",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"flex_horario","prat",2,"positivo",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"estrut_clara","mat",2,"positivo",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"estrut_clara","comp",2,"positivo",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"estrut_clara","prat",2,"positivo",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"ritmo_proprio","mat",2,"positivo",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"ritmo_proprio","comp",2,"positivo",1,1,0
"2021/08/11 8:14:29 AM GMT-3",22,"Feminino","2017.2",8,"ritmo_proprio","prat",2,"positivo",1,1,0
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"prob_tec","mat",2,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"prob_tec","comp",3,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"prob_tec","prat",5,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"comunic_prej","mat",3,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"comunic_prej","comp",2,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"comunic_prej","prat",1,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"prob_ger_temp","mat",3,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"prob_ger_temp","comp",3,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"prob_ger_temp","prat",3,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"falta_contato","mat",4,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"falta_contato","comp",1,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"falta_contato","prat",1,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"amb_nao_prod","mat",4,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"amb_nao_prod","comp",4,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"amb_nao_prod","prat",4,"dificuldade",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"flex_horario","mat",4,"positivo",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"flex_horario","comp",4,"positivo",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"flex_horario","prat",4,"positivo",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"estrut_clara","mat",2,"positivo",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"estrut_clara","comp",2,"positivo",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"estrut_clara","prat",2,"positivo",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"ritmo_proprio","mat",3,"positivo",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"ritmo_proprio","comp",3,"positivo",1,1,1
"2021/08/11 8:24:53 AM GMT-3",19,"Masculino","2020.2",1,"ritmo_proprio","prat",3,"positivo",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"prob_tec","mat",1,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"prob_tec","comp",1,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"prob_tec","prat",1,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"comunic_prej","mat",3,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"comunic_prej","comp",3,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"comunic_prej","prat",3,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"prob_ger_temp","mat",2,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"prob_ger_temp","comp",2,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"prob_ger_temp","prat",2,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"falta_contato","mat",5,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"falta_contato","comp",5,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"falta_contato","prat",5,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"amb_nao_prod","mat",4,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"amb_nao_prod","comp",4,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"amb_nao_prod","prat",4,"dificuldade",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"flex_horario","mat",5,"positivo",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"flex_horario","comp",5,"positivo",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"flex_horario","prat",5,"positivo",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"estrut_clara","mat",2,"positivo",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"estrut_clara","comp",2,"positivo",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"estrut_clara","prat",2,"positivo",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"ritmo_proprio","mat",2,"positivo",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"ritmo_proprio","comp",2,"positivo",1,1,1
"2021/08/11 8:35:49 AM GMT-3",20,"Masculino","2020.2",6,"ritmo_proprio","prat",2,"positivo",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"prob_tec","mat",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"prob_tec","comp",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"prob_tec","prat",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"comunic_prej","mat",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"comunic_prej","comp",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"comunic_prej","prat",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"prob_ger_temp","mat",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"prob_ger_temp","comp",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"prob_ger_temp","prat",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"falta_contato","mat",2,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"falta_contato","comp",2,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"falta_contato","prat",2,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"amb_nao_prod","mat",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"amb_nao_prod","comp",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"amb_nao_prod","prat",1,"dificuldade",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"flex_horario","mat",5,"positivo",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"flex_horario","comp",5,"positivo",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"flex_horario","prat",5,"positivo",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"estrut_clara","mat",5,"positivo",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"estrut_clara","comp",5,"positivo",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"estrut_clara","prat",5,"positivo",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"ritmo_proprio","mat",5,"positivo",1,1,1
"2021/08/11 8:47:09 AM GMT-3",20,"Masculino","2020.2",9,"ritmo_proprio","comp",5,"positivo",1,1,1
